Hermina,Orn,Hermina12@blueocean.com,897-364-3648,Coast Guard,2023-05-14,Seperated,https://www.linkedin.com/in/HerminaOrn/,https://github.com/Aniyah16,,mcsp25
Coy,Christiansen,Coy74@blueocean.com,388-688-8152,Air Force,2024-12-29,more than 6 months prior ETS,https://www.linkedin.com/in/CoyChristiansen/,https://github.com/Dashawn80,Office Hour Requested 2023-10-10 11:00 3H%,mcsp18
Reece,Marvin,Reece.Marvin@blueocean.com,951-573-4620,Navy,2023-08-14,within 6 months prior ETS,https://www.linkedin.com/in/ReeceMarvin/,https://github.com/Cheyanne.Rodriguez,Office Hour Requested 2023-08-26 11:00 2H%Clearing Appointment 2023-12-31 8:00 2H%Medical Appointment 2024-02-15 6:00 All Day%,mcsp18
Chaya,Johnson,Chaya.Johnson31@blueocean.com,239-848-2220,Coast Guard,2024-08-30,more than 6 months prior ETS,https://www.linkedin.com/in/ChayaJohnson/,https://github.com/Leonor_Brown,Office Hour Requested 2024-02-16 16:00 1H%,mcsp19
Maya,Stroman,Maya_Stroman53@blueocean.com,561-033-6579,Coast Guard,2023-04-09,Seperated,https://www.linkedin.com/in/MayaStroman/,https://github.com/Mitchell91,Medical Appointment 2023-09-05 14:00 All Day%,mcsp23
Kamron,Skiles,Kamron20@blueocean.com,910-593-4173,Army,2024-10-23,more than 6 months prior ETS,https://www.linkedin.com/in/KamronSkiles/,https://github.com/Monserrate23,Clearing Appointment 2024-03-19 16:00 3H%,mcsp20
Melody,Cruickshank,Melody70@blueocean.com,943-491-8245,Marine,2024-04-21,more than 6 months prior ETS,https://www.linkedin.com/in/MelodyCruickshank/,https://github.com/Clyde.Buckridge25,Medical Appointment 2024-05-04 6:00 All Day%,mcsp21
Kamryn,Anderson,Kamryn.Anderson35@blueocean.com,874-112-5813,Marine,2024-04-27,more than 6 months prior ETS,https://www.linkedin.com/in/KamrynAnderson/,https://github.com/Lina_Russel,Office Hour Requested 2023-12-16 9:00 3H%,mcsp17
Emmett,Mueller,Emmett_Mueller23@blueocean.com,174-399-2885,Air Force,2023-01-25,Seperated,https://www.linkedin.com/in/EmmettMueller/,https://github.com/Kavon_Kling-Roob,Office Hour Requested 2024-06-04 12:00 3H%Office Hour Requested 2023-12-24 11:00 All Day%Medical Appointment 2024-05-12 7:00 2H%,mcsp21
Ciara,Balistreri,Ciara_Balistreri34@blueocean.com,540-436-4394,Army,2023-08-28,within 6 months prior ETS,https://www.linkedin.com/in/CiaraBalistreri/,https://github.com/Pierre61,Clearing Appointment 2024-03-01 6:00 1H%Clearing Appointment 2024-01-18 14:00 All Day%Family Emergency 2023-09-04 8:00 3H%,mcsp23
Jarrett,Wolf-Miller,Jarrett.Wolf-Miller15@blueocean.com,339-726-8284,Army,2024-01-11,more than 6 months prior ETS,https://www.linkedin.com/in/JarrettWolf-Miller/,https://github.com/Rodolfo.Dooley,Medical Appointment 2024-05-04 16:00 All Day%,mcsp19
Alivia,Lindgren,Alivia_Lindgren@blueocean.com,897-001-3361,Marine,2024-04-13,more than 6 months prior ETS,https://www.linkedin.com/in/AliviaLindgren/,https://github.com/Brandyn73,Family Emergency 2023-09-30 16:00 1H%,mcsp23
Thaddeus,Dickens,Thaddeus_Dickens80@blueocean.com,860-780-6061,Army,2023-09-07,within 6 months prior ETS,https://www.linkedin.com/in/ThaddeusDickens/,https://github.com/Rosamond_Jenkins-Bahringer34,Medical Appointment 2023-09-30 11:00 1H%,mcsp22
Barrett,Hermann,Barrett50@blueocean.com,529-375-1329,Army,2023-05-03,Seperated,https://www.linkedin.com/in/BarrettHermann/,https://github.com/Lauryn89,Clearing Appointment 2023-07-30 14:00 3H%,mcsp16
Juliet,Koss,Juliet_Koss@blueocean.com,721-055-1665,Marine,2024-02-22,more than 6 months prior ETS,https://www.linkedin.com/in/JulietKoss/,https://github.com/Granville.Koelpin90,Family Emergency 2024-03-30 11:00 3H%,mcsp16
Ashlynn,Blick,Ashlynn_Blick@blueocean.com,320-582-0464,Army,2024-06-05,more than 6 months prior ETS,https://www.linkedin.com/in/AshlynnBlick/,https://github.com/Herta.Hirthe,,mcsp22
Coleman,Kassulke,Coleman_Kassulke@blueocean.com,424-503-3834,Coast Guard,2023-02-18,Seperated,https://www.linkedin.com/in/ColemanKassulke/,https://github.com/Jasmin.Sipes,,mcsp16
Ernesto,Larkin,Ernesto_Larkin45@blueocean.com,583-238-2109,Army,2023-11-03,within 6 months prior ETS,https://www.linkedin.com/in/ErnestoLarkin/,https://github.com/Irma99,,mcsp23
Brielle,Cummings,Brielle48@blueocean.com,462-730-4622,Coast Guard,2023-11-26,within 6 months prior ETS,https://www.linkedin.com/in/BrielleCummings/,https://github.com/Branson64,,mcsp23
